GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-2031.8387,-19018.359,-3286.3804,82.13033232,-21050.1977,-3204.25006768,-24254.4477677
1,-2050.0891,-18988.2794,-3348.2273,81.75218544,-21038.3685,-3266.47511456,-24304.8436146
2,-2056.3907,-19040.8021,-3313.9848,82.4700564,-21097.1928,-3231.5147436,-24328.7075436
3,-2062.8385,-18991.7154,-3358.5306,82.39163976,-21054.5539,-3276.13896024,-24330.6928602
4,-2062.852,-18998.4578,-3350.1478,84.57213096,-21061.3098,-3265.57566904,-24326.885469
5,-2032.1304,-18919.9572,-3343.3171,83.24405352,-20952.0876,-3260.07304648,-24212.1606465
6,-2058.2927,-18972.4658,-3359.7152,82.15655832,-21030.7585,-3277.55864168,-24308.3171417
7,-2046.2639,-19035.9597,-3311.6869,80.90308728,-21082.2236,-3230.78381272,-24313.0074127
8,-2092.4813,-18990.2571,-3317.3641,80.55682128,-21082.7384,-3236.80727872,-24319.5456787
9,-2066.0479,-19017.2379,-3316.4973,82.08578592,-21083.2858,-3234.41151408,-24317.6973141
10,-2052.5357,-18966.0536,-3324.7564,82.61374752,-21018.5893,-3242.14265248,-24260.7319525
11,-2075.33,-19059.6604,-3306.0123,82.24608456,-21134.9904,-3223.76621544,-24358.7566154
12,-2055.6245,-19073.9995,-3321.5354,81.08829936,-21129.624,-3240.44710064,-24370.0711006
13,-2075.7131,-19041.031,-3342.4018,82.83682152,-21116.7441,-3259.56497848,-24376.3090785
14,-2065.3438,-18960.3699,-3330.2022,82.21266936,-21025.7137,-3247.98953064,-24273.7032306
15,-2056.6475,-18981.1506,-3349.8421,80.91744984,-21037.7981,-3268.92465016,-24306.7227502
16,-2052.9482,-18980.7449,-3384.4616,83.91442248,-21033.6931,-3300.54717752,-24334.2402775
17,-2062.7689,-18918.0186,-3393.9663,82.83247416,-20980.7875,-3311.13382584,-24291.9213258
18,-2008.3953,-19016.7232,-3333.974,84.71071728,-21025.1185,-3249.26328272,-24274.3817827
19,-2069.498,-19038.6589,-3300.7204,82.09478088,-21108.1569,-3218.62561912,-24326.7825191
20,-2047.7609,-19146.9884,-3213.5033,81.31280976,-21194.7493,-3132.19049024,-24326.9397902
